continent_code,date,cases,deaths
AF,2020-03-09,98,1
AF,2020-03-10,107,2
AF,2020-03-11,120,2
AF,2020-03-12,167,5
AF,2020-03-13,185,6
AF,2020-03-14,270,7
AF,2020-03-15,360,8
AF,2020-03-16,447,10
AF,2020-03-17,528,14
AF,2020-03-18,621,16
AF,2020-03-19,833,21
AF,2020-03-20,1017,26
AF,2020-03-21,1252,37
AF,2020-03-22,1492,48
AF,2020-03-23,1909,57
AF,2020-03-24,2373,64
AF,2020-03-25,2913,73
AF,2020-03-26,3489,91
AF,2020-03-27,4072,116
AF,2020-03-28,4471,134
AF,2020-03-29,5037,154
AF,2020-03-30,5542,175
AF,2020-03-31,6122,201
AF,2020-04-01,6751,237
AF,2020-04-02,7442,288
AF,2020-04-03,8368,336
AF,2020-04-04,9050,385
AF,2020-04-05,9777,446
AF,2020-04-06,10500,489
AF,2020-04-07,11176,535
AF,2020-04-08,11953,576
AF,2020-04-09,12791,630
AF,2020-04-10,13515,697
AF,2020-04-11,14204,745
AF,2020-04-12,15066,791
AF,2020-04-13,15928,838
AF,2020-04-14,16851,876
AF,2020-04-15,17811,913
AF,2020-04-16,18977,968
AF,2020-04-17,20404,1020
AF,2020-04-18,21725,1062
AF,2020-04-19,22950,1125
AF,2020-04-20,24155,1164
AF,2020-04-21,25354,1196
AF,2020-04-22,26637,1244
AF,2020-04-23,28060,1293
AF,2020-04-24,29809,1328
AF,2020-04-25,31086,1379
AF,2020-04-26,32641,1426
AF,2020-04-27,33823,1464
AF,2020-04-28,35662,1527
AF,2020-04-29,37647,1591
AF,2020-04-30,39697,1638
AF,2020-05-01,41430,1691
AF,2020-05-02,43648,1762
AF,2020-05-03,45253,1800
AF,2020-05-04,47788,1842
AF,2020-05-05,50150,1917
AF,2020-05-06,52325,2015
AF,2020-05-07,55247,2080
AF,2020-05-08,58947,2160
AF,2020-05-09,61967,2232
AF,2020-05-10,64724,2301
AF,2020-05-11,67762,2355
AF,2020-05-12,70924,2406
AF,2020-05-13,73816,2507
AF,2020-05-14,76986,2578
AF,2020-05-15,79584,2621
AF,2020-05-16,82200,2672
AF,2020-05-17,84813,2726
AF,2020-05-18,87429,2777
AF,2020-05-19,93212,2924
AF,2020-05-20,96973,3010
AF,2020-05-21,101665,3115
AF,2020-05-22,105824,3204
AF,2020-05-23,109450,3267
AF,2020-05-24,113632,3356
AF,2020-05-25,117779,3495
AF,2020-05-26,121526,3613
AF,2020-05-27,126616,3710
AF,2020-05-28,131565,3814
AF,2020-05-29,137521,3945
AF,2020-05-30,143746,4092
AF,2020-05-31,148751,4245
AF,2020-06-01,154882,4369
AF,2020-06-02,159676,4511
AF,2020-06-03,164960,4627
AF,2020-06-04,172143,4783
AF,2020-06-05,179284,4942
AF,2020-06-06,185967,5082
AF,2020-06-07,192089,5215
AF,2020-06-08,198969,5390
AF,2020-06-09,205489,5568
AF,2020-06-10,211978,5717
AF,2020-06-11,219235,5868
AF,2020-06-12,227578,6080
AF,2020-06-13,235672,6283
AF,2020-06-14,244510,6488
AF,2020-06-15,254182,6793
AF,2020-06-16,261547,7026
AF,2020-06-17,270587,7248
AF,2020-06-18,278638,7450
AF,2020-06-19,288757,7713
AF,2020-06-20,299771,7941
AF,2020-06-21,309098,8148
AF,2020-06-22,318258,8371
AF,2020-06-23,327392,8653
AF,2020-06-24,338659,8888
AF,2020-06-25,350392,9103
AF,2020-06-26,362495,9317
AF,2020-06-27,374460,9519
AF,2020-06-28,384986,9698
AF,2020-06-29,396036,9912
AF,2020-06-30,407718,10184
AF,2020-07-01,420727,10438
AF,2020-07-02,434149,10662
AF,2020-07-03,449054,10920
AF,2020-07-04,465722,11117
AF,2020-07-05,479342,11395
AF,2020-07-06,493154,11647
AF,2020-07-07,510578,12015
AF,2020-07-08,525213,12269
AF,2020-07-09,544333,12495
AF,2020-07-10,561689,12802
AF,2020-07-11,580927,13028
AF,2020-07-12,597451,13284
AF,2020-07-13,613551,13503
AF,2020-07-14,628021,13801
AF,2020-07-15,645846,14024
AF,2020-07-16,666147,14397
AF,2020-07-17,685811,14712
AF,2020-07-18,704866,14994
AF,2020-07-19,723455,15207
AF,2020-07-20,738663,15461
AF,2020-07-21,752177,15763
AF,2020-07-22,771999,16471
AF,2020-07-23,790446,16749
AF,2020-07-24,811789,17123
AF,2020-07-25,830680,17556
AF,2020-07-26,847812,17797
AF,2020-07-27,861813,18203
AF,2020-07-28,875676,18532
AF,2020-07-29,892376,18891
AF,2020-07-30,910353,19355
AF,2020-07-31,929635,19716
AF,2020-08-01,944880,20001
AF,2020-08-02,959094,20339
AF,2020-08-03,969655,20649
AF,2020-08-04,979125,21128
AF,2020-08-05,994811,21668
AF,2020-08-06,1008811,22091
AF,2020-08-07,1022462,22536
AF,2020-08-08,1036723,22945
AF,2020-08-09,1048866,23299
AF,2020-08-10,1057347,23619
AF,2020-08-11,1065491,23886
AF,2020-08-12,1074568,24300
AF,2020-08-13,1084794,24697
AF,2020-08-14,1097339,25108
AF,2020-08-15,1108825,25342
AF,2020-08-16,1118554,25635
AF,2020-08-17,1127350,25902
AF,2020-08-18,1135822,26313
AF,2020-08-19,1146635,26641
AF,2020-08-20,1157236,26977
AF,2020-08-21,1167161,27325
AF,2020-08-22,1177328,27595
AF,2020-08-23,1186560,27779
AF,2020-08-24,1193921,27995
AF,2020-08-25,1201463,28277
AF,2020-08-26,1210127,28597
AF,2020-08-27,1218535,28850
AF,2020-08-28,1226457,29076
AF,2020-08-29,1234796,29403
AF,2020-08-30,1243010,29561
AF,2020-08-31,1249765,29787
AF,2020-09-01,1256563,30023
AF,2020-09-02,1264720,30264
AF,2020-09-03,1273067,30581
AF,2020-09-04,1281394,30815
AF,2020-09-05,1288542,31038
AF,2020-09-06,1296300,31268
AF,2020-09-07,1303357,31483
AF,2020-09-08,1310677,31696
AF,2020-09-09,1319155,31900
AF,2020-09-10,1327151,32082
AF,2020-09-11,1335620,32310
AF,2020-09-12,1343089,32458
AF,2020-09-13,1349847,32577
AF,2020-09-14,1356212,32741
AF,2020-09-15,1362635,33010
AF,2020-09-16,1370134,33197
AF,2020-09-17,1378722,33376
AF,2020-09-18,1386976,33569
AF,2020-09-19,1395681,33768
AF,2020-09-20,1403005,33896
AF,2020-09-21,1409706,34020
AF,2020-09-22,1416997,34262
AF,2020-09-23,1425768,34470
AF,2020-09-24,1433851,34639
AF,2020-09-25,1440719,34777
AF,2020-09-26,1448154,34956
AF,2020-09-27,1456520,35095
AF,2020-09-28,1462254,35389
AF,2020-09-29,1469794,35608
AF,2020-09-30,1478445,35801
AF,2020-10-01,1485572,36016
AF,2020-10-02,1494496,36165
AF,2020-10-03,1503206,36276
AF,2020-10-04,1511302,36446
AF,2020-10-05,1516251,36572
AF,2020-10-06,1522812,36760
AF,2020-10-07,1533395,37028
AF,2020-10-08,1543917,37328
AF,2020-10-09,1552912,37562
AF,2020-10-10,1566375,37830
AF,2020-10-11,1575331,38040
AF,2020-10-12,1581253,38232
AF,2020-10-13,1589152,38502
AF,2020-10-14,1600650,38765
AF,2020-10-15,1609588,39020
AF,2020-10-16,1619086,39226
AF,2020-10-17,1634600,39491
AF,2020-10-18,1642791,39676
AF,2020-10-19,1652729,39860
AF,2020-10-20,1662277,40153
AF,2020-10-21,1672975,40411
AF,2020-10-22,1683954,40627
AF,2020-10-23,1694474,40852
AF,2020-10-24,1706114,41074
AF,2020-10-25,1715237,41191
AF,2020-10-26,1726200,41539
AF,2020-10-27,1734790,41721
AF,2020-10-28,1746680,42069
AF,2020-10-29,1757663,42269
AF,2020-10-30,1771493,42565
AF,2020-10-31,1782562,42789
AF,2020-11-01,1792832,43111
AF,2020-11-02,1800615,43327
AF,2020-11-03,1809957,43531
AF,2020-11-04,1825821,43879
AF,2020-11-05,1841078,44183
AF,2020-11-06,1852905,44407
AF,2020-11-07,1867864,44784
AF,2020-11-08,1880404,45300
AF,2020-11-09,1889855,45550
AF,2020-11-10,1902816,45891
AF,2020-11-11,1916817,46223
AF,2020-11-12,1933024,46491
AF,2020-11-13,1947656,46767
AF,2020-11-14,1961582,47002
AF,2020-11-15,1974200,47300
AF,2020-11-16,1984530,47581
AF,2020-11-17,1997619,47972
AF,2020-11-18,2012959,48369
AF,2020-11-19,2026104,48641
AF,2020-11-20,2042477,49053
AF,2020-11-21,2056041,49367
AF,2020-11-22,2068843,49657
AF,2020-11-23,2078912,49927
AF,2020-11-24,2091564,50272
AF,2020-11-25,2106332,50591
AF,2020-11-26,2120090,50886
AF,2020-11-27,2133529,51186
AF,2020-11-28,2149525,51439
AF,2020-11-29,2162216,51662
AF,2020-11-30,2172606,51927
AF,2020-12-01,2182333,52164
AF,2020-12-02,2199503,52505
AF,2020-12-03,2213866,52774
AF,2020-12-04,2233188,53214
AF,2020-12-05,2248092,53493
AF,2020-12-06,2261405,53809
AF,2020-12-07,2270522,54026
AF,2020-12-08,2284832,54457
AF,2020-12-09,2304226,54803
AF,2020-12-10,2323511,55198
AF,2020-12-11,2342135,55575
AF,2020-12-12,2360536,55922
AF,2020-12-13,2376525,56268
AF,2020-12-14,2387293,56574
AF,2020-12-15,2405332,56987
AF,2020-12-16,2426264,57347
AF,2020-12-17,2446372,57745
AF,2020-12-18,2465189,58235
AF,2020-12-19,2486522,58684
AF,2020-12-20,2504706,59018
AF,2020-12-21,2520111,59444
AF,2020-12-22,2539835,59969
AF,2020-12-23,2564941,60588
AF,2020-12-24,2590874,61338
AF,2020-12-25,2615528,61812
AF,2020-12-26,2636395,62233
AF,2020-12-27,2656010,62711
AF,2020-12-28,2670055,63233
AF,2020-12-29,2689594,63948
AF,2020-12-30,2718922,64668
AF,2020-12-31,2749065,65359
AF,2021-01-01,2775692,66014
AF,2021-01-02,2798654,66521
AF,2021-01-03,2820160,67129
AF,2021-01-04,2841451,67807
AF,2021-01-05,2867883,68621
AF,2021-01-06,2898961,68803
AF,2021-01-07,2937046,70392
AF,2021-01-08,2974313,71314
AF,2021-01-09,3007318,71945
AF,2021-01-10,3038704,72551
AF,2021-01-11,3065682,73215
AF,2021-01-12,3090591,74275
AF,2021-01-13,3125509,75439
AF,2021-01-14,3160339,76543
AF,2021-01-15,3192508,77457
AF,2021-01-16,3220528,78123
AF,2021-01-17,3245391,78624
AF,2021-01-18,3267339,79398
AF,2021-01-19,3293045,80639
AF,2021-01-20,3321305,81559
AF,2021-01-21,3346096,82497
AF,2021-01-22,3375093,83498
AF,2021-01-23,3400622,84291
AF,2021-01-24,3420533,84950
AF,2021-01-25,3438067,85644
AF,2021-01-26,3456301,86730
AF,2021-01-27,3477677,87759
AF,2021-01-28,3496845,88740
AF,2021-01-29,3517549,89593
AF,2021-01-30,3534285,90142
AF,2021-01-31,3550559,90701
AF,2021-02-01,3561879,91184
AF,2021-02-02,3579862,92112
AF,2021-02-03,3594625,92809
AF,2021-02-04,3612375,93387
AF,2021-02-05,3627428,93919
AF,2021-02-06,3641254,94466
AF,2021-02-07,3653309,94827
AF,2021-02-08,3665339,95261
AF,2021-02-09,3677511,95972
AF,2021-02-10,3691570,96509
AF,2021-02-11,3703888,97003
AF,2021-02-12,3717694,97561
AF,2021-02-13,3727683,97897
AF,2021-02-14,3739561,98213
AF,2021-02-15,3748862,98678
AF,2021-02-16,3758836,99127
AF,2021-02-17,3772205,99550
AF,2021-02-18,3785308,100039
AF,2021-02-19,3797262,100448
AF,2021-02-20,3806128,100718
AF,2021-02-21,3817003,101067
AF,2021-02-22,3826315,101410
AF,2021-02-23,3834038,101873
AF,2021-02-24,3845422,102201
AF,2021-02-25,3855948,102536
AF,2021-02-26,3868389,102883
AF,2021-02-27,3876553,103223
AF,2021-02-28,3884921,103433
AF,2021-03-01,3892900,103589
AF,2021-03-02,3902413,104112
AF,2021-03-03,3913625,104355
AF,2021-03-04,3925693,104706
AF,2021-03-05,3934767,104960
AF,2021-03-06,3944976,105231
AF,2021-03-07,3952837,105452
AF,2021-03-08,3962293,105827
AF,2021-03-09,3970959,106126
AF,2021-03-10,3981392,106431
AF,2021-03-11,3995298,106736
AF,2021-03-12,4006252,106978
AF,2021-03-13,4016430,107271
AF,2021-03-14,4025069,107523
AF,2021-03-15,4033247,107823
AF,2021-03-16,4042249,108123
AF,2021-03-17,4053324,108400
AF,2021-03-18,4064395,108657
AF,2021-03-19,4076656,109203
AF,2021-03-20,4086171,109406
AF,2021-03-21,4096094,109651
AF,2021-03-22,4105344,109911
AF,2021-03-23,4115067,110245
AF,2021-03-24,4125648,110560
AF,2021-03-25,4138138,110948
AF,2021-03-26,4156325,111289
AF,2021-03-27,4165724,111479
AF,2021-03-28,4174326,111653
AF,2021-03-29,4183983,111969
AF,2021-03-30,4194926,112260
AF,2021-03-31,4207456,112513
AF,2021-04-01,4218120,112738
AF,2021-04-02,4242288,113160
AF,2021-04-03,4250952,113325
AF,2021-04-04,4260206,113592
AF,2021-04-05,4269361,113821
AF,2021-04-06,4279945,114068
AF,2021-04-07,4289839,114285
AF,2021-04-08,4308297,114671
AF,2021-04-09,4320961,114931
AF,2021-04-10,4330479,115147
AF,2021-04-11,4339814,115415
AF,2021-04-12,4350081,115689
AF,2021-04-13,4362152,116094
AF,2021-04-14,4375216,116456
AF,2021-04-15,4387767,116767
AF,2021-04-16,4399030,117066
AF,2021-04-17,4412720,117348
AF,2021-04-18,4421395,117581
AF,2021-04-19,4430029,117808
AF,2021-04-20,4441707,118304
AF,2021-04-21,4453729,118614
AF,2021-04-22,4466035,118922
AF,2021-04-23,4477850,119293
AF,2021-04-24,4487760,119528
AF,2021-04-25,4495781,119756
AF,2021-04-26,4502929,120052
AF,2021-04-27,4514303,120474
AF,2021-04-28,4523905,120814
AF,2021-04-29,4538344,121151
AF,2021-04-30,4548713,121452
AF,2021-05-01,4556349,121740
AF,2021-05-02,4562588,121973
AF,2021-05-03,4568255,122168
AF,2021-05-04,4576239,122498
AF,2021-05-05,4586194,122823
AF,2021-05-06,4598411,123203
AF,2021-05-07,4607930,123543
AF,2021-05-08,4616234,123812
AF,2021-05-09,4623366,124026
AF,2021-05-10,4630343,124273
AF,2021-05-11,4637131,124610
AF,2021-05-12,4646309,124933
AF,2021-05-13,4656540,125225
AF,2021-05-14,4665363,125483
AF,2021-05-15,4672134,125720
AF,2021-05-16,4678585,125925
AF,2021-05-17,4686809,126190
AF,2021-05-18,4697967,126504
AF,2021-05-19,4707693,126852
AF,2021-05-20,4719885,127223
AF,2021-05-21,4727768,127514
AF,2021-05-22,4738985,127776
AF,2021-05-23,4745408,127913
AF,2021-05-24,4753923,128202
AF,2021-05-25,4765800,128533
AF,2021-05-26,4775001,128776
AF,2021-05-27,4785148,129032
AF,2021-05-28,4798400,129354
AF,2021-05-29,4800194,129407
AS,2020-03-09,97065,3432
AS,2020-03-10,98211,3509
AS,2020-03-11,99961,3604
AS,2020-03-12,101344,3704
AS,2020-03-13,103110,3811
AS,2020-03-14,105044,3929
AS,2020-03-15,106949,4061
AS,2020-03-16,108743,4222
AS,2020-03-17,110695,4371
AS,2020-03-18,112579,4551
AS,2020-03-19,115015,4732
AS,2020-03-20,117151,4903
AS,2020-03-21,119556,5060
AS,2020-03-22,122053,5223
AS,2020-03-23,125134,5394
AS,2020-03-24,128856,5558
AS,2020-03-25,133003,5738
AS,2020-03-26,137270,5963
AS,2020-03-27,142262,6160
AS,2020-03-28,147904,6354
AS,2020-03-29,153441,6539
AS,2020-03-30,158832,6712
AS,2020-03-31,164916,6917
AS,2020-04-01,171525,7146
AS,2020-04-02,178150,7366
AS,2020-04-03,184008,7579
AS,2020-04-04,189944,7814
AS,2020-04-05,196832,8053
AS,2020-04-06,203631,8282
AS,2020-04-07,209220,8501
AS,2020-04-08,214673,8715
AS,2020-04-09,220935,8983
AS,2020-04-10,227535,9215
AS,2020-04-11,234274,9487
AS,2020-04-12,241158,9789
AS,2020-04-13,249191,10055
AS,2020-04-14,256000,10318
AS,2020-04-15,263230,10501
AS,2020-04-16,271172,10771
AS,2020-04-17,279637,12297
AS,2020-04-18,287812,12511
AS,2020-04-19,296849,12769
AS,2020-04-20,304677,12965
AS,2020-04-21,314289,13232
AS,2020-04-22,323175,13460
AS,2020-04-23,333068,13692
AS,2020-04-24,342959,13986
AS,2020-04-25,352642,14232
AS,2020-04-26,361927,14427
AS,2020-04-27,370792,14675
AS,2020-04-28,380034,14909
AS,2020-04-29,389580,15177
AS,2020-04-30,399845,15436
AS,2020-05-01,411232,15678
AS,2020-05-02,421169,15984
AS,2020-05-03,432451,16207
AS,2020-05-04,444979,16568
AS,2020-05-05,457526,16910
AS,2020-05-06,471321,17222
AS,2020-05-07,484783,17564
AS,2020-05-08,499260,17812
AS,2020-05-09,513769,18112
AS,2020-05-10,529962,18386
AS,2020-05-11,543866,18610
AS,2020-05-12,559936,18933
AS,2020-05-13,577688,19286
AS,2020-05-14,594242,19585
AS,2020-05-15,609045,19846
AS,2020-05-16,623865,20113
AS,2020-05-17,638689,20385
AS,2020-05-18,653509,20652
AS,2020-05-19,689445,21282
AS,2020-05-20,710853,21628
AS,2020-05-21,733670,21989
AS,2020-05-22,757536,22398
AS,2020-05-23,780647,22760
AS,2020-05-24,803591,23115
AS,2020-05-25,824595,23432
AS,2020-05-26,844156,23823
AS,2020-05-27,866358,24250
AS,2020-05-28,890287,24659
AS,2020-05-29,918314,25176
AS,2020-05-30,944418,25692
AS,2020-05-31,972855,26237
AS,2020-06-01,999026,26707
AS,2020-06-02,1028665,27246
AS,2020-06-03,1060208,27856
AS,2020-06-04,1092591,28428
AS,2020-06-05,1123783,29027
AS,2020-06-06,1157211,29698
AS,2020-06-07,1191117,30333
AS,2020-06-08,1221361,30928
AS,2020-06-09,1253522,31599
AS,2020-06-10,1289160,32335
AS,2020-06-11,1325313,33137
AS,2020-06-12,1363447,33959
AS,2020-06-13,1400995,34684
AS,2020-06-14,1438945,35441
AS,2020-06-15,1474288,36333
AS,2020-06-16,1510151,38818
AS,2020-06-17,1550466,39697
AS,2020-06-18,1591271,40573
AS,2020-06-19,1631072,41458
AS,2020-06-20,1673995,42364
AS,2020-06-21,1713139,43306
AS,2020-06-22,1751777,44074
AS,2020-06-23,1792321,45045
AS,2020-06-24,1834433,45956
AS,2020-06-25,1879423,46973
AS,2020-06-26,1923541,47874
AS,2020-06-27,1968761,48790
AS,2020-06-28,2014194,49689
AS,2020-06-29,2057771,50615
AS,2020-06-30,2101517,51773
AS,2020-07-01,2167284,52784
AS,2020-07-02,2217564,53722
AS,2020-07-03,2269993,54717
AS,2020-07-04,2322313,55855
AS,2020-07-05,2373693,56938
AS,2020-07-06,2423273,57976
AS,2020-07-07,2472364,59182
AS,2020-07-08,2526847,60234
AS,2020-07-09,2581327,61330
AS,2020-07-10,2637062,62404
AS,2020-07-11,2690805,63503
AS,2020-07-12,2744475,64761
AS,2020-07-13,2801048,66071
AS,2020-07-14,2855847,67216
AS,2020-07-15,2915026,68468
AS,2020-07-16,2977525,69761
AS,2020-07-17,3038022,71051
AS,2020-07-18,3112636,72954
AS,2020-07-19,3177687,74404
AS,2020-07-20,3238974,75613
AS,2020-07-21,3304532,77121
AS,2020-07-22,3376206,78923
AS,2020-07-23,3451793,80376
AS,2020-07-24,3526282,81774
AS,2020-07-25,3601467,83051
AS,2020-07-26,3674036,84354
AS,2020-07-27,3744241,85542
AS,2020-07-28,3819278,87076
AS,2020-07-29,3898170,88365
AS,2020-07-30,3980067,89721
AS,2020-07-31,4063828,91027
AS,2020-08-01,4142228,92367
AS,2020-08-02,4217073,93596
AS,2020-08-03,4289500,94932
AS,2020-08-04,4366655,96604
AS,2020-08-05,4449740,98070
AS,2020-08-06,4537037,99462
AS,2020-08-07,4624742,100876
AS,2020-08-08,4714869,102229
AS,2020-08-09,4798942,103756
AS,2020-08-10,4878864,105148
AS,2020-08-11,4963951,106699
AS,2020-08-12,5056847,108246
AS,2020-08-13,5146659,109723
AS,2020-08-14,5239667,111169
AS,2020-08-15,5329386,112706
AS,2020-08-16,5410463,114174
AS,2020-08-17,5487412,115527
AS,2020-08-18,5579620,117279
AS,2020-08-19,5674884,118881
AS,2020-08-20,5769245,120417
AS,2020-08-21,5863447,121403
AS,2020-08-22,5957815,122806
AS,2020-08-23,6040049,124121
AS,2020-08-24,6124218,125474
AS,2020-08-25,6214495,127144
AS,2020-08-26,6316354,128715
AS,2020-08-27,6417841,130342
AS,2020-08-28,6519599,131897
AS,2020-08-29,6621738,133349
AS,2020-08-30,6723863,134841
AS,2020-08-31,6816044,136112
AS,2020-09-01,6916826,137671
AS,2020-09-02,7024024,139190
AS,2020-09-03,7134337,140823
AS,2020-09-04,7247636,142358
AS,2020-09-05,7362650,143887
AS,2020-09-06,7477520,145446
AS,2020-09-07,7576074,147027
AS,2020-09-08,7692733,148623
AS,2020-09-09,7815559,150379
AS,2020-09-10,7941864,152172
AS,2020-09-11,8068064,153814
AS,2020-09-12,8191912,155533
AS,2020-09-13,8312128,157194
AS,2020-09-14,8424080,159021
AS,2020-09-15,8544114,160840
AS,2020-09-16,8674618,162638
AS,2020-09-17,8801765,164401
AS,2020-09-18,8924454,166172
AS,2020-09-19,9047181,167943
AS,2020-09-20,9165204,169667
AS,2020-09-21,9268099,171268
AS,2020-09-22,9376654,172920
AS,2020-09-23,9505161,174729
AS,2020-09-24,9626183,176456
AS,2020-09-25,9744655,178171
AS,2020-09-26,9868278,179898
AS,2020-09-27,9981458,181525
AS,2020-09-28,10078755,182891
AS,2020-09-29,10189841,184730
AS,2020-09-30,10313498,186566
AS,2020-10-01,10431702,188275
AS,2020-10-02,10545901,189953
AS,2020-10-03,10654484,191472
AS,2020-10-04,10761512,193063
AS,2020-10-05,10855337,194628
AS,2020-10-06,10962129,196272
AS,2020-10-07,11077749,197951
AS,2020-10-08,11184940,199723
AS,2020-10-09,11289752,201270
AS,2020-10-10,11397170,202850
AS,2020-10-11,11494775,204395
AS,2020-10-12,11582714,205758
AS,2020-10-13,11681198,207148
AS,2020-10-14,11783828,208653
AS,2020-10-15,11881166,210194
AS,2020-10-16,11983008,211721
AS,2020-10-17,12078662,213466
AS,2020-10-18,12167096,214721
AS,2020-10-19,12247396,216119
AS,2020-10-20,12337104,217553
AS,2020-10-21,12433349,219086
AS,2020-10-22,12528318,220530
AS,2020-10-23,12623894,222035
AS,2020-10-24,12710913,223388
AS,2020-10-25,12794162,224590
AS,2020-10-26,12865169,225940
AS,2020-10-27,12946638,227252
AS,2020-10-28,13037157,228657
AS,2020-10-29,13128448,230041
AS,2020-10-30,13217937,231364
AS,2020-10-31,13302688,232682
AS,2020-11-01,13388929,234041
AS,2020-11-02,13469483,235448
