region,cases,deaths,recovered
USA,50535791,815269,39879448
India,34674744,474735,34105066
Brazil,22177059,616504,21407699
UK,10660981,146135,9378165
Russia,9925806,286004,8637861
Turkey,8984407,78602,8543785
France,8105785,120168,7252376
Germany,6355888,105010,5329300
Iran,6147872,130524,5950425
Argentina,5350867,116719,5209333
Spain,5273178,88321,4941596
Italy,5164780,134551,4775676
Colombia,5088008,128969,4928885
Indonesia,4258560,143918,4109364
Mexico,3911714,296186,3266965
Poland,3760048,87357,3211558
Ukraine,3543684,90343,3158426
South Africa,3093452,90060,2870329
Philippines,2835996,49936,2773891
Netherlands,2828655,19919,2204177
Malaysia,2678465,30787,2586822
Czechia,2312736,34242,1981792
Peru,2249671,201527,N/A
Thailand,2160780,21110,2082951
Iraq,2086702,23943,2053418
Belgium,1914527,27463,1411414
Canada,1823010,29876,1761839
Romania,1790571,57434,1709702
Chile,1778370,38600,1674588
Japan,1728410,18371,1709126
Bangladesh,1578550,28016,1543491
Vietnam,1367433,27186,1050979
Israel,1348800,8210,1334792
Pakistan,1288366,28812,1250069
Serbia,1270407,12075,1221021
Sweden,1226055,15152,1165341
Austria,1217436,13011,1119866
Hungary,1182922,36429,968897
Portugal,1181294,18610,1097554
Switzerland,1096476,11753,883870
Jordan,998492,11879,920660
Greece,989814,18982,901782
Kazakhstan,978362,12828,946451
Cuba,963428,8311,954659
Morocco,951092,14794,934009
Georgia,882822,12631,825442
Nepal,823554,11549,805900
Slovakia,757492,15179,626724
UAE,742567,2149,737656
Tunisia,719006,25416,692284
Bulgaria,711364,29382,583879
Lebanon,685162,8814,638964
Belarus,669631,5227,659224
Croatia,644206,11445,605078
Guatemala,621328,16020,604245
Ireland,610855,5788,472090
Azerbaijan,601028,8038,571088
Sri Lanka,570672,14555,543823
Costa Rica,567906,7328,558201
Saudi Arabia,550088,8850,539277
Bolivia,547892,19276,500575
Denmark,536195,2983,463834
Ecuador,530126,33494,443880
Myanmar,525403,19157,501520
S. Korea,503606,4130,426441
Lithuania,486224,6920,451231
Panama,480090,7382,469690
Paraguay,463580,16492,446432
Venezuela,436602,5223,424183
Slovenia,436366,5365,405991
Palestine,433217,4562,424997
Kuwait,413608,2466,410810
Dominican Republic,409490,4214,403534
Uruguay,401897,6140,393446
Mongolia,384912,2028,313256
Honduras,378547,10419,122570
Libya,376873,5529,360908
Ethiopia,372711,6819,350072
Moldova,368497,9315,353011
Egypt,366634,20919,304747
Armenia,341768,7747,323016
Norway,305368,1135,88952
Oman,304679,4113,300066
Bosnia and Herzegovina,280469,12882,192218
Bahrain,277964,1394,276237
Singapore,271979,779,264225
Latvia,260008,4349,244974
Kenya,255796,5339,248480
Qatar,244867,611,241938
Estonia,226858,1838,211051
Australia,225643,2082,207023
North Macedonia,218362,7695,204960
Nigeria,215164,2980,207520
Algeria,212224,6126,145846
Zambia,210562,3668,206520
Albania,202863,3128,194026
Finland,199257,1406,46000
Botswana,196090,2421,192452
Uzbekistan,195246,1430,191976
Kyrgyzstan,183863,2766,178905
Montenegro,159214,2340,154658
Afghanistan,157585,7321,141511
Zimbabwe,155817,4723,129136
Mozambique,152586,1941,149622
Cyprus,139368,607,124370
Ghana,131246,1228,129326
Namibia,130230,3575,125609
Uganda,127796,3263,97716
Cambodia,120327,2978,116680
El Salvador,119803,3791,102982
Cameroon,107549,1823,102716
Rwanda,100517,1344,45522
Luxembourg,93060,889,86508
Maldives,92754,255,90625
Jamaica,91601,2416,63310
Laos,84503,224,7339
Trinidad and Tobago,78339,2336,62397
Senegal,74054,1886,72129
Angola,65346,1736,63377
Réunion,63863,391,59685
Malawi,62088,2307,58846
Ivory Coast,61863,706,60929
DRC,59208,1115,50930
Guadeloupe,55284,748,2250
Fiji,52567,697,51141
Suriname,51149,1176,29584
Eswatini,50337,1248,45337
Syria,49008,2798,30180
French Guiana,46365,331,11254
French Polynesia,46334,636,N/A
Martinique,45501,718,104
Madagascar,44800,972,43119
Sudan,44406,3206,36009
Malta,40269,468,38052
Mauritania,39704,846,38206
Cabo Verde,38482,351,38000
Guyana,38402,1014,36505
Gabon,37551,281,33761
Papua New Guinea,35835,573,34917
Belize,30991,586,29536
Guinea,30798,388,29753
Barbados,26565,246,24064
Togo,26357,243,25937
Tanzania,26309,734,N/A
Haiti,25744,758,22028
Benin,24897,161,24546
Seychelles,23806,129,23294
Somalia,23051,1331,12325
Bahamas,22859,705,21649
Mauritius,22393,455,20691
Lesotho,21838,663,13741
Mayotte,21043,185,2964
Burundi,20523,38,773
Channel Islands,20159,107,17910
Timor-Leste,19829,122,19702
Andorra,19272,133,16879
Congo,19066,359,12421
Iceland,19052,35,17614
Mali,18329,622,15415
Curaçao,17540,180,17238
Nicaragua,17328,210,4225
Tajikistan,17095,124,16966
Taiwan,16721,848,15672
Aruba,16531,176,16153
Burkina Faso,16334,290,15604
Brunei,15301,98,15088
Equatorial Guinea,13599,175,13346
Djibouti,13514,188,13296
Saint Lucia,13067,283,12682
South Sudan,12842,133,12516
New Zealand,12621,44,6019
Hong Kong,12479,213,12156
New Caledonia,12358,280,11882
Isle of Man,12346,67,11344
CAR,11742,101,6859
Yemen,10047,1957,6936
Gambia,9998,342,9641
Cayman Islands,7839,9,4339
Eritrea,7583,62,7349
Gibraltar,7463,100,7079
Niger,7131,265,6776
Guinea-Bissau,6445,149,6279
Sierra Leone,6420,121,N/A
San Marino,6217,94,5772
Dominica,6208,42,5768
Grenada,5910,200,5647
Liberia,5832,287,5523
Bermuda,5760,106,5623
Chad,5701,181,4874
St. Vincent Grenadines,5645,76,5096
Liechtenstein,5186,65,4705
Sint Maarten,4624,75,4515
Comoros,4560,151,4366
Faeroe Islands,4212,13,3680
Antigua and Barbuda,4151,117,4022
Monaco,4006,36,3786
Saint Martin,3973,56,1399
Sao Tome and Principe,3733,57,3675
Turks and Caicos,3119,25,3066
Caribbean Netherlands,3109,22,2912
British Virgin Islands,2816,38,N/A
Saint Kitts and Nevis,2792,28,2753
Bhutan,2648,3,2626
Greenland,1774,NA,1520
St. Barth,1603,6,N/A
Anguilla,1469,4,1383
Diamond Princess,712,13,699
Wallis and Futuna,454,7,438
Saint Pierre Miquelon,91,NA,60
Falkland Islands,83,NA,N/A
Macao,77,NA,77
Montserrat,44,1,42
Vatican City,27,NA,27
Solomon Islands,20,NA,20
Western Sahara,10,1,8
MS Zaandam,9,2,7
Palau,8,NA,8
Vanuatu,6,1,5
Marshall Islands,4,NA,4
Samoa,3,NA,3
Saint Helena,2,NA,2
Micronesia,1,NA,1
Tonga,1,NA,1
China,99517,4636,93659
Total:,60313384,1208963,48451025
Total:,82890203,1228810,80170414
Total:,39160071,1185465,37227112
Total:,77105541,1451343,67521631
Total:,8920903,224824,8189692
Total:,385855,4320,344962
Total:,721,15,706
Total:,268776678,5303740,241905542
